,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
,,,,,,,,,,,,,,,5.931830054,1.223074757,1.277237177,0,8.432141988,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test 5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2024 17:05,4.6875,0,0,0,1.171875,46,44,45,45,52,1101.25671,1101.25671,1101.25671,1101.25671,2.30442882,0.6117773,0.033200074,0,2.949406194,100.11425,46.4102936,7.28587341,8.412956,44,27.4045639
06-03-2024 17:05,5.384612,1.53846145,0,1.5625,2.12139487,47,46,48,49,54,1201.37146,1201.37146,1201.37146,1201.37146,5.81918335,1.15233517,1.22264242,0,8.19416094,100.114288,49.5805473,7.78356552,7.915264,44,27.4045639
07-03-2024 17:05,9.375,4.6875,0,0,3.515625,49,47,47,49,55,1101.25623,1101.25623,1101.25623,1101.25623,5.845658,1.1673919,1.27805436,0,8.29110426,100.114204,49.57914,7.78334427,7.91548538,44,27.4045639
08-03-2024 17:05,7.69230747,1.53846145,0,1.5625,2.69831419,49,48,49,50,57,1201.37183,1101.25757,1101.25757,1101.25757,5.583305,1.07951069,1.24893022,0,7.91174591,100.114326,49.58132,7.78368759,7.915142,44,27.40458
09-03-2024 17:05,6.25,1.5625,0,1.51515007,2.33191252,50,48,49,51,57,1101.2561,1201.37024,1201.37024,1201.37024,5.76770735,1.1329037,1.24732316,0,8.14793421,100.114189,49.5634155,7.780876,7.91795349,44,27.40458
10-03-2024 17:05,5.46875,2.34375,0,0.78125,2.1484375,51,49,48,51,57,1201.37048,1201.37048,1101.25623,1201.37048,5.76920462,1.13126671,1.24432039,0,8.14479172,100.114204,49.4722672,7.766567,7.93226242,44,27.40458
11-03-2024 17:05,11.5384579,0,0,0.7692337,3.076923,50,49,48,51,57,1201.37158,1101.2572,1101.2572,1201.37158,5.66893148,1.08852494,1.22453785,0,7.98199427,100.114296,49.4733124,7.76673126,7.93209839,44,27.4045944
12-03-2024 17:05,4.615384,0.7692337,0,0.7692337,1.53846145,52,48,50,52,57,1201.36914,1101.25513,1201.36914,1201.36914,5.74618769,1.10913658,1.24197865,0,8.09730292,100.1141,49.46923,7.76609039,7.93273926,44,27.4045944
13-03-2024 17:05,10.0240345,1.53846145,0,0.7692337,3.082931,51,50,50,53,58,1201.37085,1201.37085,1201.37085,1201.37085,5.834988,1.16796076,1.26505,0,8.26799876,100.114235,49.46374,7.76522827,7.93360138,44,27.4045944
