,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:44,16.1538486,0,0,0.7692337,4.23077345,49,48,48,50,56,1101.25671,1101.25671,1101.25671,1101.25671,5.897694,1.264596,1.13680553,0,8.29909553,100.114243,54.3137245,8.526619,7.17221069,44,27.4198914,
05-03-2024 01:44,17.6923027,0,0,0,4.42307568,49,48,50,51,57,1501.712,1201.36963,1101.25549,1101.25549,5.96656275,1.28049159,1.17775738,0,8.42481172,100.114136,54.31854,8.527374,7.17145538,44,27.4200668,
05-03-2024 01:45,15.625,0,0,0,3.90625,49,48,50,51,57,1101.2572,1101.2572,1101.2572,1101.2572,5.935194,1.26471126,1.16856682,0,8.36847208,100.114296,54.2816238,8.52158,7.17725,44,27.4200668,
05-03-2024 01:45,17.96875,0,0,0,4.4921875,50,49,51,52,60,1101.25684,1201.37109,1101.25684,1101.25684,5.8036375,1.27157915,1.16750526,0,8.24272191,100.114258,54.2583466,8.517925,7.18090439,44,27.4200668,
05-03-2024 01:45,15.625,0.78125,0,0.793647766,4.29997444,50,49,51,52,58,1201.371,1101.25671,1101.25671,1101.25671,5.771333,1.23136163,1.14953971,0,8.15223434,100.114243,54.25978,8.51815,7.18067932,45,27.4199753,
05-03-2024 01:45,19.53125,0,0,0,4.8828125,52,50,51,52,58,1101.25623,1101.25623,1101.25623,1101.25623,5.894445,1.24735451,1.15435362,0,8.29615313,100.114204,54.25978,8.51815,7.18067932,45,27.4199753,
05-03-2024 01:45,17.6923027,0,0,0,4.42307568,51,50,52,52,58,1101.25684,1101.25684,1201.37109,1101.25684,5.875106,1.25874043,1.13591444,0,8.26976087,100.114258,54.269474,8.519672,7.17915726,45,27.4199753,
05-03-2024 01:45,21.53846,0,0,0,5.384612,51,50,51,53,59,1101.25708,1101.25708,1101.25708,1101.25708,5.949692,1.28975415,1.16349208,0,8.40293823,100.114281,54.2781029,8.521027,7.177803,46,27.4200363,
05-03-2024 01:46,14.6153812,0,0.757575035,0,3.843236,52,51,53,53,59,1101.25671,1101.25671,1101.25671,1101.25671,5.918639,1.2653327,1.1736716,0,8.3576433,100.114243,54.28962,8.522835,7.175995,46,27.4200363,
05-03-2024 01:46,18.4615364,0,0,0,4.615384,53,52,52,52,58,1301.48511,1101.25659,1101.25659,1101.25659,5.772159,1.249687,1.16937017,0,8.19121617,100.114235,54.2910767,8.523064,7.175766,46,27.4200363,
